Respondent,Professional,ProgramHobby,Country,University,EmploymentStatus,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsProgram,YearsCodedJob,YearsCodedJobPast,DeveloperType,WebDeveloperType,MobileDeveloperType,NonDeveloperType,CareerSatisfaction,JobSatisfaction,ExCoderReturn,ExCoderNotForMe,ExCoderBalance,ExCoder10Years,ExCoderBelonged,ExCoderSkills,ExCoderWillNotCode,ExCoderActive,PronounceGIF,ProblemSolving,BuildingThings,LearningNewTech,BoringDetails,JobSecurity,DiversityImportant,AnnoyingUI,FriendsDevelopers,RightWrongWay,UnderstandComputers,SeriousWork,InvestTimeTools,WorkPayCare,KinshipDevelopers,ChallengeMyself,CompetePeers,ChangeWorld,JobSeekingStatus,HoursPerWeek,LastNewJob,AssessJobIndustry,AssessJobRole,AssessJobExp,AssessJobDept,AssessJobTech,AssessJobProjects,AssessJobCompensation,AssessJobOffice,AssessJobCommute,AssessJobRemote,AssessJobLeaders,AssessJobProfDevel,AssessJobDiversity,AssessJobProduct,AssessJobFinances,ImportantBenefits,ClickyKeys,JobProfile,ResumePrompted,LearnedHiring,ImportantHiringAlgorithms,ImportantHiringTechExp,ImportantHiringCommunication,ImportantHiringOpenSource,ImportantHiringPMExp,ImportantHiringCompanies,ImportantHiringTitles,ImportantHiringEducation,ImportantHiringRep,ImportantHiringGettingThingsDone,Currency,Overpaid,TabsSpaces,EducationImportant,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,CousinEducation,WorkStart,HaveWorkedLanguage,WantWorkLanguage,HaveWorkedFramework,WantWorkFramework,HaveWorkedDatabase,WantWorkDatabase,HaveWorkedPlatform,WantWorkPlatform,IDE,AuditoryEnvironment,Methodology,VersionControl,CheckInCode,ShipIt,OtherPeoplesCode,ProjectManagement,EnjoyDebugging,InTheZone,DifficultCommunication,CollaborateRemote,MetricAssess,EquipmentSatisfiedMonitors,EquipmentSatisfiedCPU,EquipmentSatisfiedRAM,EquipmentSatisfiedStorage,EquipmentSatisfiedRW,InfluenceInternet,InfluenceWorkstation,InfluenceHardware,InfluenceServers,InfluenceTechStack,InfluenceDeptTech,InfluenceVizTools,InfluenceDatabase,InfluenceCloud,InfluenceConsultants,InfluenceRecruitment,InfluenceCommunication,StackOverflowDescribes,StackOverflowSatisfaction,StackOverflowDevices,StackOverflowFoundAnswer,StackOverflowCopiedCode,StackOverflowJobListing,StackOverflowCompanyPage,StackOverflowJobSearch,StackOverflowNewQuestion,StackOverflowAnswer,StackOverflowMetaChat,StackOverflowAdsRelevant,StackOverflowAdsDistracting,StackOverflowModeration,StackOverflowCommunity,StackOverflowHelpful,StackOverflowBetter,StackOverflowWhatDo,StackOverflowMakeMoney,Gender,HighestEducationParents,Race,SurveyLong,QuestionsInteresting,QuestionsConfusing,InterestedAnswers,Salary,Salary,ExpectedSalary
,,,Others,,,Did not answer,,Did not answer,3001,,,7 to 15 years,,Other,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C; C++; ; ; ; ; ; ; Objective-C; ; Python; ; ,; Haskell; ; ; ; ; ; ; MongoDB; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,Rather not say,Did not answer,
,,,United States,,,Did not answer,,Did not answer,"Other (not working, consultant, etc.)",,,3 to 7 years,,Student,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C; C++; ; Java; JavaScript; jQuery; ; ; ; PHP; ; ; SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,Student / Unemployed,Not yet employed,
,,,India,,,Did not answer,,Did not answer,Jan-25,,,7 to 15 years,,Full-Stack Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; Java; JavaScript; jQuery; ; ; ; PHP; ; ; ,; ; ; Dart; ; C++11; ; ; MongoDB; F#; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"$60,000 - $80,000",70000,
,,,India,,,Did not answer,,Did not answer,Jan-25,,,1 to 3 years,,Front-End Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; ; JavaScript; jQuery; ; ; ; PHP; ; ; SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,,,
,,,Germany,,,Did not answer,,Did not answer,"Other (not working, consultant, etc.)",,,7 to 15 years,,Student,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"<$20,000","< 20,000",
,,,United Kingdom,,,Did not answer,,Did not answer,3001,,,7 to 15 years,,Other,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; ; ; ; ; ; ; ; ; ; SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,">$140,000","> 140,000",
,,,Australia,,,Did not answer,,Did not answer,"1,000-3,000",,,3 to 7 years,,Enterprise Level Services,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; C++; ; Java; ; ; ; ; ; ; ; ; ,; Haskell; ; ; ; ; ; ; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"$80,000 - $100,000",90000,
,,,Australia,,,Did not answer,,Did not answer,101-999,,,7 to 15 years,,Desktop Software Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; ; JavaScript; jQuery; ; ; ; PHP; ; ; SQL,Node.js; ; ; ; ; ; ; ; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"$60,000 - $80,000",70000,
,,,United States,,,Did not answer,,Did not answer,101-999,,,7 to 15 years,,Back-End Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; C++; ; ; ; ; ; ; ; ; Python; ; SQL,; ; ; Dart; ; C++11; ; ; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,">$140,000","> 140,000",
,,,United States,,,Did not answer,,Did not answer,101-999,,,7 to 15 years,,Full-Stack Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; C#; Java; JavaScript; jQuery; ; ; ; ; ; ; SQL,Node.js; Haskell; CoffeeScript; ; ; ; ; ; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,Student / Unemployed,Not yet employed,
,,,India,,,Did not answer,,Did not answer,"1,000-3,000",,,3 to 7 years,,Mobile Application Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; ; ; ; ; ; Objective-C; ; ; ; ,; ; ; ; ; C++11; ; ; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,Rather not say,Did not answer,
,,,United States,,,Did not answer,,Did not answer,101-999,,,7 to 15 years,,Student,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; C++; C#; ; ; ; ; ; ; ; ; ; ,; ; ; ; ; C++11; ; ; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,Student / Unemployed,Not yet employed,
,,,Other Europe,,,Did not answer,,Did not answer,Jan-25,,,3 to 7 years,,"Executive (VP of Eng, CTO, CIO, etc.)",,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C; ; ; ; JavaScript; jQuery; ; ; ; PHP; Python; ; ,Node.js; ; CoffeeScript; ; ; ; ; Redis; MongoDB; ; PhoneGap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,,,
,,,United States,,,Did not answer,,Did not answer,26-100,,,7 to 15 years,,Full-Stack Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; ; JavaScript; jQuery; ; ; ; PHP; ; ; SQL,Node.js; Haskell; CoffeeScript; Dart; ; ; ; Redis; MongoDB; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"$60,000 - $80,000",70000,
,,,India,,,Did not answer,,Did not answer,"1,000-3,000",,,3 to 7 years,,Full-Stack Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; ; JavaScript; jQuery; ; ; ; PHP; ; Ruby; SQL,; ; ; ; ; ; ; ; MongoDB; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,Rather not say,Did not answer,
,,,Other Europe,,,Did not answer,,Did not answer,,,,7 to 15 years,,,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,,,
,,,Others,,,Did not answer,,Did not answer,Jan-25,,,7 to 15 years,,Mobile Application Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; ; JavaScript; jQuery; ; Node.js; ; PHP; ; ; SQL,Node.js; ; ; ; ; ; ; ; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"<$20,000","< 20,000",
,,,Others,,,Did not answer,,Did not answer,Jan-25,,,3 to 7 years,,Manager of Developers or Team Leader,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; ; JavaScript; jQuery; ; ; ; ; ; Ruby; SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"<$20,000","< 20,000",
,,,Australia,,,Did not answer,,Did not answer,"1,000-3,000",,,7 to 15 years,,Desktop Software Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; ; ; ; ; ; ; ; ; ; SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,">$140,000","> 140,000",
,,,Canada,,,Did not answer,,Did not answer,,,,1 to 3 years,,,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,,,
,,,United States,,,Did not answer,,Did not answer,"Other (not working, consultant, etc.)",,,7 to 15 years,,Other,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; C#; ; ; ; ; ; ; ; ; ; SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,Rather not say,Did not answer,
,,,United States,,,Did not answer,,Did not answer,26-100,,,7 to 15 years,,Full-Stack Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; ; JavaScript; ; ; ; ; PHP; ; ; ,; ; ; ; ; ; ; ; ; ; PhoneGap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"$20,000 - $40,000",30000,
,,,Others,,,Did not answer,,Did not answer,3001,,,7 to 15 years,,Enterprise Level Services,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"$120,000 - $140,000",130000,
,,,Other Europe,,,Did not answer,,Did not answer,26-100,,,7 to 15 years,,Full-Stack Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,,,
,,,Others,,,Did not answer,,Did not answer,,,,7 to 15 years,,,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,,,
,,,Canada,,,Did not answer,,Did not answer,Jan-25,,,7 to 15 years,,Full-Stack Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; ; JavaScript; jQuery; ; ; ; ; Python; ; ,Node.js; ; ; ; ; ; ; Redis; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,Rather not say,Did not answer,
,,,Australia,,,Did not answer,,Did not answer,,,,1 to 3 years,,,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,,,
,,,Australia,,,Did not answer,,Did not answer,101-999,,,3 to 7 years,,Front-End Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; C#; ; JavaScript; jQuery; ; ; ; ; ; ; SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"$60,000 - $80,000",70000,
,,,India,,,Did not answer,,Did not answer,101-999,,,1 to 3 years,,Other,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,Rather not say,Did not answer,
,,,Others,,,Did not answer,,Did not answer,Jan-25,,,7 to 15 years,,Front-End Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; ; ; jQuery; ; ; ; PHP; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"$20,000 - $40,000",30000,
,,,Others,,,Did not answer,,Did not answer,,,,No Response,,,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,,,
,,,Others,,,Did not answer,,Did not answer,26-100,,,7 to 15 years,,Enterprise Level Services,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"$100,000 - $120,000",110000,
,,,Australia,,,Did not answer,,Did not answer,Jan-25,,,3 to 7 years,,Mobile Application Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; C++; C#; Java; ; ; ; ; Objective-C; ; ; ; SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,Student / Unemployed,Not yet employed,
,,,India,,,Did not answer,,Did not answer,Jan-25,,,3 to 7 years,,Full-Stack Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; ; JavaScript; jQuery; ; ; ; PHP; ; ; SQL,Node.js; ; ; ; ; ; ; ; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"<$20,000","< 20,000",
,,,Australia,,,Did not answer,,Did not answer,Jan-25,,,7 to 15 years,,Full-Stack Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; C++; C#; Java; JavaScript; jQuery; ; ; ; PHP; ; ; SQL,; ; ; ; ; C++11; WinRT; ; MongoDB; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"$60,000 - $80,000",70000,
,,,Others,,,Did not answer,,Did not answer,101-999,,,3 to 7 years,,Desktop Software Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; C#; ; ; jQuery; ; ; ; ; ; ; ,; ; ; ; ; ; ; ; ; F#; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"$20,000 - $40,000",30000,
,,,United States,,,Did not answer,,Did not answer,3001,,,7 to 15 years,,Back-End Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; Java; JavaScript; jQuery; ; ; ; ; Python; Ruby; SQL,; ; CoffeeScript; ; ; ; ; Redis; MongoDB; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"$80,000 - $100,000",90000,
,,,Others,,,Did not answer,,Did not answer,26-100,,,7 to 15 years,,Enterprise Level Services,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; C#; Java; JavaScript; jQuery; ; ; ; ; ; ; SQL,; ; ; ; ; ; WinRT; ; MongoDB; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"<$20,000","< 20,000",
,,,United States,,,Did not answer,,Did not answer,Jan-25,,,7 to 15 years,,Full-Stack Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; ; JavaScript; jQuery; ; Node.js; ; ; ; Ruby; SQL,Node.js; ; CoffeeScript; ; ; ; ; ; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"$120,000 - $140,000",130000,
,,,United States,,,Did not answer,,Did not answer,"1,000-3,000",,,7 to 15 years,,Manager of Developers or Team Leader,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; Java; JavaScript; ; ; ; ; ; Python; ; ,Node.js; ; ; ; ; ; ; Redis; MongoDB; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"$100,000 - $120,000",110000,
,,,United States,,,Did not answer,,Did not answer,,,,1 to 3 years,,,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,,,
,,,Others,,,Did not answer,,Did not answer,3001,,,7 to 15 years,,Manager of Developers or Team Leader,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; Java; JavaScript; jQuery; ; Node.js; ; ; ; Ruby; SQL,Node.js; ; CoffeeScript; ; ; ; ; ; MongoDB; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,Rather not say,Did not answer,
,,,United States,,,Did not answer,,Did not answer,26-100,,,7 to 15 years,,Manager of Developers or Team Leader,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; ; JavaScript; jQuery; ; ; ; ; ; Ruby; SQL,; ; CoffeeScript; ; ; ; ; Redis; MongoDB; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,">$140,000","> 140,000",
,,,Canada,,,Did not answer,,Did not answer,101-999,,,3 to 7 years,,Back-End Web Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; Java; JavaScript; ; ; ; ; ; Python; Ruby; SQL,; Haskell; CoffeeScript; ; ; ; ; ; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"$60,000 - $80,000",70000,
,,,Other Europe,,,Did not answer,,Did not answer,101-999,,,7 to 15 years,,IT Staff / System Administrator,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; ; ; ; ; ; ; PHP; Python; ; ,; Haskell; ; Dart; ; ; ; ; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"$40,000 - $60,000",50000,
,,,Australia,,,Did not answer,,Did not answer,,,,1 to 3 years,,,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,,,
,,,United States,,,Did not answer,,Did not answer,,,,No Response,,,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,,,
,,,Others,,,Did not answer,,Did not answer,26-100,,,3 to 7 years,,Desktop Software Developer,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; C#; ; ; ; ; ; ; ; ; ; SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,,,
,,,Others,,,Did not answer,,Did not answer,,,,3 to 7 years,,,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,,,
,,,United States,,,Did not answer,,Did not answer,"1,000-3,000",,,3 to 7 years,,IT Staff / System Administrator,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; C++; ; ; JavaScript; jQuery; ; ; ; PHP; Python; ; SQL,Node.js; Haskell; ; ; ; C++11; ; ; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,"$20,000 - $40,000",30000,
,,,United States,,,Did not answer,,Did not answer,3001,,,7 to 15 years,,Manager of Developers or Team Leader,,,,,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; ; ; Java; JavaScript; ; ; ; ; ; ; Ruby; ,; ; ; ; ; ; ; Redis; ; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not answer,,,,,,,Rather not say,Did not answer,
